ECON512 HOMEWORK3: Ken Suzuki
 
 
 Iteration   Func-count     min f(x)         Procedure
     0            1          1709.72         
     1            7          1709.21         initial simplex
     2            8          1709.21         reflect
     3           10          1708.84         expand
     4           11          1708.84         reflect
     5           13          1708.27         expand
     6           14          1708.27         reflect
     7           16          1707.78         expand
     8           18          1707.01         expand
     9           19          1707.01         reflect
    10           21          1705.65         expand
    11           22          1705.65         reflect
    12           24          1704.15         expand
    13           25          1704.15         reflect
    14           27          1702.24         expand
    15           28          1702.24         reflect
    16           30          1698.52         expand
    17           31          1698.52         reflect
    18           33          1693.94         expand
    19           34          1693.94         reflect
    20           36          1688.49         expand
    21           37          1688.49         reflect
    22           39          1683.65         expand
    23           41           1676.1         expand
    24           42           1676.1         reflect
    25           44          1665.65         expand
    26           45          1665.65         reflect
    27           47          1656.59         expand
    28           48          1656.59         reflect
    29           50          1641.12         expand
    30           51          1641.12         reflect
    31           52          1641.12         reflect
    32           53          1641.12         reflect
    33           54          1641.12         reflect
    34           55          1641.12         reflect
    35           56          1641.12         reflect
    36           57          1641.12         reflect
    37           59          1634.76         expand
    38           61             1633         reflect
    39           62             1633         reflect
    40           64          1631.89         reflect
    41           66          1631.89         contract inside
    42           67          1631.89         reflect
    43           69          1631.08         reflect
    44           70          1631.08         reflect
    45           72          1631.08         contract inside
    46           74          1631.08         contract outside
    47           76          1631.08         contract outside
    48           78          1631.08         contract inside
    49           80          1631.08         contract inside
    50           82          1631.08         contract inside
    51           83          1631.08         reflect
    52           84          1631.08         reflect
    53           86          1631.08         contract inside
    54           88          1631.08         contract inside
    55           90          1631.08         contract inside
    56           91          1631.08         reflect
    57           93          1630.45         expand
    58           95          1630.45         contract outside
    59           96          1630.45         reflect
    60           97          1630.45         reflect
    61           98          1630.45         reflect
    62           99          1630.45         reflect
    63          100          1630.45         reflect
    64          102          1629.64         expand
    65          103          1629.64         reflect
    66          105          1629.09         expand
    67          106          1629.09         reflect
    68          107          1629.09         reflect
    69          109          1627.27         expand
    70          110          1627.27         reflect
    71          111          1627.27         reflect
    72          113          1625.35         expand
    73          114          1625.35         reflect
    74          115          1625.35         reflect
    75          117          1621.88         expand
    76          118          1621.88         reflect
    77          119          1621.88         reflect
    78          121          1618.43         expand
    79          122          1618.43         reflect
    80          124          1614.54         expand
    81          126          1608.96         expand
    82          127          1608.96         reflect
    83          129          1602.67         expand
    84          130          1602.67         reflect
    85          132          1591.34         expand
    86          133          1591.34         reflect
    87          135          1583.22         expand
    88          137          1568.64         expand
    89          138          1568.64         reflect
    90          140          1551.56         expand
    91          141          1551.56         reflect
    92          143          1541.41         expand
    93          145          1526.86         expand
    94          147          1519.52         expand
    95          149          1518.24         reflect
    96          151          1516.74         reflect
    97          152          1516.74         reflect
    98          154          1516.74         contract outside
    99          155          1516.74         reflect
   100          157          1516.74         contract inside
   101          159          1516.74         contract inside
   102          161          1513.33         reflect
   103          162          1513.33         reflect
   104          163          1513.33         reflect
   105          165          1511.48         reflect
   106          166          1511.48         reflect
   107          168          1511.48         contract inside
   108          169          1511.48         reflect
   109          170          1511.48         reflect
   110          172          1510.58         reflect
   111          173          1510.58         reflect
   112          175          1510.58         contract inside
   113          177          1509.43         reflect
   114          179          1509.43         contract inside
   115          181          1509.07         reflect
   116          182          1509.07         reflect
   117          184          1508.11         reflect
   118          185          1508.11         reflect
   119          186          1508.11         reflect
   120          188          1507.96         reflect
   121          189          1507.96         reflect
   122          191          1507.96         contract inside
   123          193          1507.96         contract inside
   124          195          1507.67         reflect
   125          197          1507.67         contract inside
   126          199          1507.56         contract outside
   127          200          1507.56         reflect
   128          202          1507.52         contract inside
   129          204           1507.5         contract inside
   130          205           1507.5         reflect
   131          207           1507.5         contract inside
   132          209          1507.46         contract inside
   133          211          1507.26         reflect
   134          213          1507.26         contract inside
   135          215          1507.26         contract inside
   136          217          1507.26         contract inside
   137          218          1507.26         reflect
   138          220          1507.26         reflect
   139          222          1507.26         contract inside
   140          224          1507.26         contract outside
   141          225          1507.26         reflect
   142          227          1507.19         reflect
   143          228          1507.19         reflect
   144          230          1507.19         contract inside
   145          232          1507.19         contract inside
   146          233          1507.19         reflect
   147          235          1507.19         contract inside
   148          236          1507.19         reflect
   149          237          1507.19         reflect
   150          238          1507.19         reflect
   151          240          1507.19         contract inside
   152          242          1507.15         expand
   153          243          1507.15         reflect
   154          245          1507.15         contract inside
   155          246          1507.15         reflect
   156          247          1507.15         reflect
   157          248          1507.15         reflect
   158          250          1507.13         reflect
   159          251          1507.13         reflect
   160          253          1507.11         expand
   161          254          1507.11         reflect
   162          256          1507.11         contract inside
   163          258          1507.11         contract inside
   164          260          1507.11         reflect
   165          262          1507.05         expand
   166          264          1507.05         contract outside
   167          265          1507.05         reflect
